,title,year,authors,abstract
236,[26] Isolation of mammalian centrosomes,1986,TJ Mitchison and MW Kirschner,"The centrosome is the principal microtubule-organizing center in animal cells in interphase. J It usually consists of a pair of centrioles surrounded by ill-defined fibrous or amorphous pericentriolar material, and this latter component is responsible for microtubule nucleation. 2 Little is known about the chemistry of this organelle, except that the centriole cylinders are constructed from triplet microtubules. Isolated centrosomes are potentially useful for chemical and structural studies of the organelle. In addition they can serve as nucleating centers for astral arrays of microtubules of known polarity) Such organized arrays may provide a useful substrate for studying diverse aspects of microtubule behavior and func-1 j. R. Mclntosh, Mod. Cell Biol. 2, 115 (1983). 2 RR Gould and GG Borisy, J. Cell Biol. 73, 601 (1977). 3 L. Bergen, R. Kuriyama, and GG Borisy, J. Cell Biol. 84, 151 (1980),"
237,Deubiquitinase FAM/USP9X interacts with the E3 ubiquitin ligase SMURF1 protein and protects it from ligase activity-dependent self-degradation,2013,Yang Xie and Monika Avello and Markus Schirle and Elizabeth McWhinnie and Yan Feng and Eva Bric-Furlong and Christopher Wilson and Robin Nathans and Jing Zhang and Marc W Kirschner and Shih-Min A Huang and Feng Cong,"Ubiquitination is an essential post-translational modification that mediates diverse cellular functions. SMAD-specific E3 ubiquitin protein ligase 1 (SMURF1) belongs to the Nedd4 family of HECT ubiquitin ligases that directly catalyzes ubiquitin conjugation onto diverse substrates. As a result, SMURF1 regulates a great variety of cellular physiologies including bone morphogenetic protein (BMP) signaling, cell migration, and planar cell polarity. Structurally, SMURF1 consists of a C2 domain, two WW domain repeats, and a catalytic HECT domain essential for its E3 ubiquitin ligase activity. This modular architecture allows for interactions with other proteins, which are either substrates or adaptors of SMURF1. Despite the increasing number of SMURF1 substrates identified, current knowledge regarding regulatory proteins and their modes of action on controlling SMURF1 activity is still limited. In this study, we employed …"
238,Small nuclear RNA transcription and ribonucleoprotein assembly in early Xenopus development.,1983,Douglass J Forbes and Thomas B Kornberg and Marc W Kirschner,"The Xenopus egg and embryo, throughout the transcriptionally inactive early cleavage period, were found to contain a store of approximately 8 X 10(8) molecules of the small nuclear RNA (snRNA) U1, sufficient for 4,000-8,000 nuclei. In addition, when transcription is activated at the twelfth cleavage (4,000 cell-stage), the snRNAs U1, U2, U4, U5, and U6 are major RNA polymerase II products. From the twelfth cleavage to gastrulation, U1 RNA increases sevenfold in 4 h, paralleling a similar increase in nuclear number. This level of snRNA transcription is much greater than that typical of somatic cells, implying a higher rate of U1 transcription or a greater number of U1 genes active in the embryo. The Xenopus egg also contains snRNP proteins, since it has the capacity to package exogenously added snRNA into immunoprecipitable snRNP particles, which resemble endogenous particles in both sedimentation …"
239,Isolation of separate mRNAs for α-and β-tubulin and characterization of the corresponding in vitro translation products,1978,Don W Cleveland and Marc W Kirschner and Nicholas J Cowan,"The messenger RNAs coding for α- and β-tubulin have been isolated from embryonic chick brain. Although the mRNAs for the two tubulin subunits have been resolved on native gels, they are very similar in molecular weight (650,000 daltons) as judged by mobility on denaturing gels containing methyl mercury. The mRNAs for β- and γ-actin have also been resolved on native gels, but migrate as an unresolved peak (molecular weight 650,000–700,000 daltons) under denaturing conditions. Since the nonmuscle actins are substantially smaller proteins than α- and β-tubulin, the large size of chick nonmuscle actin mRNAs suggests an unusually long untranslated region.Since tubulin and actin polypeptides are internal structural proteins, one would expect them to be synthesized only on free polysomes. Translation of mRNA derived directly from a purified membrane fraction or by puromycin release from that fraction …"
240,Cell cycle adaptations of embryonic stem cells,2011,Andrea Ballabeni and In-Hyun Park and Rui Zhao and Weiping Wang and Paul H Lerou and George Q Daley and Marc W Kirschner,"ES cells proliferate with very short gap phases yet maintain their capacity to differentiate. It had been thought that the levels of cyclins and other substrates of ubiquitin ligase APC/C remain nearly constant and Cdk activity remains constitutively high in mouse ES cells. Here we demonstrate that APC/C (anaphase-promoting complex/cyclosome) enzyme is active in ES cells but attenuated by high levels of the Emi1 (early mitotic inhibitor-1) protein. Despite the presence of high Cdk activity during the G1 phase, chromatin can be effectively licensed for DNA replication and fast entry into the S phase can still occur. High Cdk activity during S-G2-M phases produces high levels of the DNA replication factor Cdt1, and this leads to efficient Mcm proteins loading on chromatin after mitotic exit. Although disturbing the usual balance between Cdk activity and APC/C activity found in somatic cells, a few key adaptations allow …"
241,Association of tau protein with microtubules in living cells,1986,David Drubin and Sumire Kobayashi and Marc Kirschner,"Several well-characterized microtubule-associated proteins (MAPs) coassemble with microtubules in vitro and promote the assembly of purified tubulin. These include the tau proteins of 55,000-68,000 kD,'-* MAPs of 120,000 and 210,000 kD, 3 and MAPs of approximately 300,000 kD, called MAP-1 and MAP-2.4-6 The relevance of in vitro studies on MAPs rests first upon direct demonstration that the MAPs associate with microtubules in living cells, and second upon direct demonstration of their in vivo functions. Immunocytochemical studies have supported the conclusion that tau,'-'the 210,000 kD MAP: and the 300,000 kD MAPs'*~@'~ bind microtubules in living cells. Immunocytochemical experiments alone, however, can be ambiguous, as evidenced by inconsistencies in reported staining patterns. For example, in our own studies with a highly specific affinity-purified antiserum raised against bovine brain tau …"
242,A chemical inhibitor of N-WASP reveals a new mechanism for targeting protein interactions,2001,Jeffrey R Peterson and R Scott Lokey and Timothy J Mitchison and Marc W Kirschner,"Cell morphology and motility are governed largely by complex signaling networks that ultimately engage the actin cytoskeleton. Understanding how individual circuits contribute to the process of forming cellular structures would be aided greatly by the availability of specific chemical inhibitors. We have used a novel chemical screen in Xenopus cell-free extracts to identify compounds that inhibit signaling pathways regulating actin polymerization. Here we report the results of a high-throughput screen for compounds that inhibit phosphatidylinositol 4,5-bisphosphate (PIP2)-induced actin assembly and the identification of the first compound, a cyclic peptide, known to block actin assembly by inhibiting an upstream signaling component. We identify the target of this compound as N-WASP, a protein that has been investigated for its role as a node interconnecting various actin signaling networks. We show that this …"
243,Multiple sites for the initiation of microtubule assembly in mammalian cells,1979,Bruce M Spiegelman and Margaret A Lopata and Marc W Kirschner,"The pattern of microtubule regrowth in mammalian fibroblast and epithelial cells has been examined by immunofluorescence of cytoskeletal preparations with antibody to tubulin. After reversal of treatment with colcemid, vinblastine or low temperature, microtubules appear to grow simultaneously from several distinct initiation sites located within 5 μ of the nucleus of mouse and human fibroblasts. Each site initiates the growth of 10–30 microtubules. More than 70% of the mouse fibroblasts have between 5 and 10 initiation sites with an average of 8. The human fibroblasts have an average of 5 sites per cell. The average number and numerical distribution of sites per fibroblast cell are not affected by time of exposure to colcemid or the concentration of colcemid applied to the cells. Multiple microtubule initiation sites are also observed during the process of microtubule depolymerization. In addition to growth from these …"
244,Dual RING E3 architectures regulate multiubiquitination and ubiquitin chain elongation by APC/C,2016,Nicholas G Brown and Ryan VanderLinden and Edmond R Watson and Florian Weissmann and Alban Ordureau and Kuen-Phon Wu and Wei Zhang and Shanshan Yu and Peter Y Mercredi and Joseph S Harrison and Iain F Davidson and Renping Qiao and Ying Lu and Prakash Dube and Michael R Brunner and Christy RR Grace and Darcie J Miller and David Haselbach and Marc A Jarvis and Masaya Yamaguchi and David Yanishevski and Georg Petzold and Sachdev S Sidhu and Brian Kuhlman and Marc W Kirschner and J Wade Harper and Jan-Michael Peters and Holger Stark and Brenda A Schulman,"Protein ubiquitination involves E1, E2, and E3 trienzyme cascades. E2 and RING E3 enzymes often collaborate to first prime a substrate with a single ubiquitin (UB) and then achieve different forms of polyubiquitination: multiubiquitination of several sites and elongation of linkage-specific UB chains. Here, cryo-EM and biochemistry show that the human E3 anaphase-promoting complex/cyclosome (APC/C) and its two partner E2s, UBE2C (aka UBCH10) and UBE2S, adopt specialized catalytic architectures for these two distinct forms of polyubiquitination. The APC/C RING constrains UBE2C proximal to a substrate and simultaneously binds a substrate-linked UB to drive processive multiubiquitination. Alternatively, during UB chain elongation, the RING does not bind UBE2S but rather lures an evolving substrate-linked UB to UBE2S positioned through a cullin interaction to generate a Lys11-linked chain. Our findings …"
245,Quantitative reconstitution of mitotic CDK1 activation in somatic cell extracts,2010,Richard W Deibler and Marc W Kirschner,"The regulation of mitotic entry in somatic cells differs from embryonic cells, yet it is only for embryonic cells that we have a quantitative understanding of this process. To gain a similar insight into somatic cells, we developed a human cell extract system that recapitulates CDK1 activation and nuclear envelope breakdown in response to mitotic cyclins. As cyclin B concentrations increase, CDK1 activates in a three-stage nonlinear response, creating an ordering of substrate phosphorylations. This response is established by dual regulatory feedback loops involving WEE1/MYT1, which impose a cyclin B threshold, and CDC25, which allows CDK1 to escape the WEE1/MYT1 inhibition. This system also exhibits a complex response to cyclin A. Cyclin A promotes WEE1 phosphorylation to weaken the negative feedback loop and primes mitotic entry through cyclin B. This observation explains the requirement of both cyclin A …"
246,Transient expression and heat‐stress‐inducedco‐aggregation of endogenous and heterologous small heat‐stress proteins in tobacco protoplasts,2000,Marc Kirschner and Sybille Winkelhaus and Jörg M Thierfelder and Lutz Nover,"Heat‐stress granules (HSG) are highly ordered, cytoplasmic chaperone complexes found in all heat‐stressed plant cells. We have developed an experimental system involving expression of cytosolic class I and class II small heat‐stress proteins (Hsps) of pea, Arabidopsis and tomato in tobacco protoplasts to study the structural prerequisites for the assembly of HSG or HSG‐like complexes. Class I and class II small Hsps formed class‐specific dodecamers of 210–280 kDa, which, upon heat stress, were incorporated into HSG complexes. Interestingly, class II dodecamers alone could form HSG‐like complexes (auto‐aggregation), whereas class I dodecamers could do so only in the presence of class II proteins (recruitment). By analysing C‐terminal deletion forms of Hsp17 class II, we obtained evidence that the intact C‐terminus is critical for the oligomerization state, for the heat‐stress‐induced auto …"
247,The redistribution of a conserved nuclear envelope protein during the cell cycle suggests a pathway for chromosome condensation,1984,Frank D McKeon and Denny L Tuffanelli and Sumire Kobayashi and Marc W Kirschner,"We describe a human autoantiserum that recognizes specific determinants present both on the nuclear envelope of interphase cells and the periphery of metaphase chromosomes. These determinants are highly conserved through evolution and present on a protein with an apparent molecular weight of 33,000. This 33 kd protein, which we call “perichromin,” appears to be directly or indirectly bound to both interphase and metaphase DNA. Studies of the transformation of perichromin from a nuclear envelope association to a perichromosomal position during prophase suggests a pathway for chromosome organization throughout the cell cycle."
248,The Gonium pectorale genome demonstrates co-option of cell cycle regulation during the evolution of multicellularity,2016,Erik R Hanschen and Tara N Marriage and Patrick J Ferris and Takashi Hamaji and Atsushi Toyoda and Asao Fujiyama and Rafik Neme and Hideki Noguchi and Yohei Minakuchi and Masahiro Suzuki and Hiroko Kawai-Toyooka and David R Smith and Halle Sparks and Jaden Anderson and Robert Bakarić and Victor Luria and Amir Karger and Marc W Kirschner and Pierre M Durand and Richard E Michod and Hisayoshi Nozaki and Bradley JSC Olson,"The transition to multicellularity has occurred numerous times in all domains of life, yet its initial steps are poorly understood. The volvocine green algae are a tractable system for understanding the genetic basis of multicellularity including the initial formation of cooperative cell groups. Here we report the genome sequence of the undifferentiated colonial alga, Gonium pectorale, where group formation evolved by co-option of the retinoblastoma cell cycle regulatory pathway. Significantly, expression of the Gonium retinoblastoma cell cycle regulator in unicellular Chlamydomonas causes it to become colonial. The presence of these changes in undifferentiated Gonium indicates extensive group-level adaptation during the initial step in the evolution of multicellularity. These results emphasize an early and formative step in the evolution of multicellularity, the evolution of cell cycle regulation, one that may shed light on …"
249,The nuclear proteome of a vertebrate,2015,Martin Wühr and Thomas Güttler and Leonid Peshkin and Graeme C McAlister and Matthew Sonnett and Keisuke Ishihara and Aaron C Groen and Marc Presler and Brian K Erickson and Timothy J Mitchison and Marc W Kirschner and Steven P Gygi,"The composition of the nucleoplasm determines the behavior of key processes such as transcription, yet there is still no reliable and quantitative resource of nuclear proteins. Furthermore, it is still unclear how the distinct nuclear and cytoplasmic compositions are maintained. To describe the nuclear proteome quantitatively, we isolated the large nuclei of frog oocytes via microdissection and measured the nucleocytoplasmic partitioning of ∼9,000 proteins by mass spectrometry. Most proteins localize entirely to either nucleus or cytoplasm; only ∼17% partition equally. A protein’s native size in a complex, but not polypeptide molecular weight, is predictive of localization: partitioned proteins exhibit native sizes larger than ∼100 kDa, whereas natively smaller proteins are equidistributed. To evaluate the role of nuclear export in maintaining localization, we inhibited Exportin 1. This resulted in the expected re-localization …"
250,Control of mitotic transitions by the anaphase–promoting complex,1999,Guowei Fang and Hongtao Yu and W Kirschner,"Proteolysis controls key transitions at several points in the cell cycle. In mitosis, the activation of a large ubiquitin–protein ligase, the anaphase–promoting complex (APC), is required for anaphase initiation and for exit from mitosis. We show that APC is under complex control by a network of regulatory factors, CDC20, CDH1 and MAD2. CDC20 and CDH1 are activators of APC; they bind directly to APC and activate its cyclin ubiquitination activity. CDC20 activates APC at the onset of anaphase in a destruction box (DB)–dependent manner, while CDH1 activates APC from late anaphase through G1 with apparently a much relaxed specificity for the DB. Therefore, CDC20 and CDH1 control both the temporal order of activation and the substrate specificity of APC, and hence regulate different events during mitosis and G1. Counteracting the effect of CDC20, the checkpoint protein MAD2 acts as an inhibitor of APC. When …"
251,"Small pool expression screening: identification of genes involved in cell cycle control, apoptosis, and early development",1997,Kevin D Lustig and P Todd Stukenberg and Thomas J McGarry and Randall W King and Vincent L Cryns and Paul E Mead and Leonard I Zon and Junying Yuan and Marc W Kirschner,"This chapter discusses the identification of genes involved in cell cycle control, apoptosis, and early development. Traditional genetic and biochemical methods have been quite successful in identifying genes that are essential for cell cycle progression and early embryonic development, among other diverse biological processes. Nevertheless, only a small fraction of the genes in the vertebrate genome has been functionally characterized. This chapter describes a systematic and broadly applicable approach to cloning genes based solely on the biological activities or biochemical properties of the gene products. It describes several potential applications of this expression cloning approach, and also discusses its use in related types of screening procedures. It describes general methods used to prepare library pools of cDNA, RNA, and protein, and the sib selection techniques used to subdivide a …"
252,Large-scale detection of ubiquitination substrates using cell extracts and protein microarrays,2009,Yifat Merbl and Marc W Kirschner,"Identification of protein targets of post-translational modification is an important analytical problem in biology. Protein microarrays exposed to cellular extracts could offer a rapid and convenient means of identifying modified proteins, but this kind of biochemical assay, unlike DNA microarrays, depends on a faithful reconstruction of in vivo conditions. Over several years, concentrated cellular extracts have been developed, principally for cell cycle studies that reproduce very complex cellular states. We have used extracts that replicate the mitotic checkpoint and anaphase release to identify differentially regulated poyubiquitination. Protein microarrays were exposed to these complex extracts, and the polyubiquitinated products were detected by specific antibodies. We expected that among the substrates revealed by the microarray should be substrates of the anaphase promoting complex (APC). Among 8,000 proteins …"
253,Proteolysis and DNA replication: the CDC34 requirement in the Xenopus egg cell cycle,1997,P Renee Yew and Marc W Kirschner,"The cell division cycle gene, CDC34, is required for ubiquitin-mediated degradation of G1 regulators and cell cycle progression through the transition from G1 to S phase in budding yeast. A CDC34 requirement for S phase onset in higher eukaryotes has not been established. Studies of the simple embryonic cell cycle of Xenopus laevis eggs demonstrated that Cdc34p in a large molecular size complex was required in the initiation of DNA replication. Cdc34p appears to regulate the initiation function of Cdk2–cyclin E, perhaps through the degradation of the Xenopus cdk inhibitor, Xic1."
254,Initiation of the cell cycle and establishment of bilateral symmetry in Xenopus eggs,1980,Marc Kirschner and John C Gerhart and Koki Hara and Geertje A Ubbels,"This chapter discusses the initiation of the cell cycle and establishment of bilateral symmetry in Xenopus egg. In the establishment of the cell cycle, in unfertilized Xenopus laevis eggs the cell cycle is arrested at second meiotic metaphase where no DNA synthesis is taking place. The period after fertilization in amphibian eggs is concerned with the completion of meiosis, fusion of the pronuclei, restarting the cell cycle, and the establishment of the dorsal–ventral asymmetry of the future embryo. Directly after fertilization there are a number of cortical and internal movements that are related to these events. Fertilized Xenopus eggs when rotated, sperm entrance point (SEP) down acquire the same yolk configuration as do unrotated eggs, that is, vitelline wall on the dorsal side, whereas Xenopus eggs rotated with the SEP up, acquire a mirror image configuration of vegetal yolk. Thus, the …"
255,APCCdc20 suppresses apoptosis through targeting Bim for ubiquitination and destruction,2014,Lixin Wan and Mingjia Tan and Jie Yang and Hiroyuki Inuzuka and Xiangpeng Dai and Tao Wu and Jia Liu and Shavali Shaik and Guoan Chen and Jing Deng and Marcos Malumbres and Anthony Letai and Marc W Kirschner and Yi Sun and Wenyi Wei,"Anaphase-promoting complex Cdc20 (APCCdc20) plays pivotal roles in governing mitotic progression. By suppressing APCCdc20, antimitotic agents activate the spindle-assembly checkpoint and induce apoptosis after prolonged treatment, whereas depleting endogenous Cdc20 suppresses tumorigenesis in part by triggering mitotic arrest and subsequent apoptosis. However, the molecular mechanism(s) underlying apoptosis induced by Cdc20 abrogation remains poorly understood. Here, we report the BH3-only proapoptotic protein Bim as an APCCdc20 target, such that depletion of Cdc20 sensitizes cells to apoptotic stimuli. Strikingly, Cdc20 and multiple APC-core components were identified in a small interfering RNA screen that, upon knockdown, sensitizes otherwise resistant cancer cells to chemoradiation in a Bim-dependent manner. Consistently, human adult T cell leukemia cells that acquire elevated …"
256,β-catenin specifies the endomesoderm and defines the posterior organizer of the hemichordate Saccoglossus kowalevskii,2011,Sébastien Darras and John Gerhart and Mark Terasaki and Marc Kirschner and Christopher J Lowe,"The canonical Wnt/β-catenin pathway is a key regulator of body plan organization and axis formation in metazoans, being involved in germ layer specification, posterior growth and patterning of the anteroposterior axis. Results from animals spanning a wide phylogenetic range suggest that a unifying function of β-catenin in metazoans is to define the posterior/vegetal part of the embryo. Although the specification of vegetal territories (endoderm) by β-catenin has been demonstrated in distantly related animals (cnidarians, a protostome, echinoderms and ascidians), the definition of the posterior part of the embryo is well supported only for vertebrates and planarians. To gain insights into β-catenin functions during deuterostome evolution, we have studied the early development of the direct developing hemichordate Saccoglossus kowalevskii. We show that the zygote is polarized after fertilization along the animal …"
257,A microtubule-binding Rho-GEF controls cell morphology during convergent extension of Xenopus laevis,2005,Kristen M Kwan and Marc W Kirschner,"During Xenopus development, convergent extension movements mediated by cell intercalation drive axial elongation. While many genes required for convergent extension have been identified, little is known of regulation of the cytoskeleton during these cell movements. Although microtubules are required for convergent extension, this applies only to initial stages of gastrulation, between stages 10 and 10.5. To examine the cytoskeleton more directly during convergent extension, we visualized actin and microtubules simultaneously in live explants using spinning disk confocal fluorescence microscopy. Microtubule depolymerization by nocodazole inhibits lamellipodial protrusions and cell-cell contact, thereby inhibiting convergent extension. However, neither taxol nor vinblastine, both of which block microtubule dynamics while stabilizing a polymer form of tubulin, inhibits lamellipodia or convergent extension. This …"
258,Axonal transport of tubulin in tit pioneer neurons in situ,1995,James Sabry and Tim P O'Connor and Marc W Kirschner,"In neurons, tubulin is synthesized only in the cell body or dendrites, yet the growing axon requires a steady supply of this protein at the growth cone. Hence, some mechanism must exist to move tubulin from the cell body to the growth cone. Transport could conceivably occur by simple diffusion, translocation of polymer, or some form of monomer or oligomer transport. Evidence for all these has been presented in a variety of experimental systems. We have directly studied the movement of microtubules in 12 growing axons in live grasshopper Till neurons in their natural environment by labeling the polymer with a caged fluorophore, biscaged fluorescein. No evidence of polymer transport was found. Hence, tubulin movement in these neurons must occur by movement of monomeric tubulin, either by transport or diffusion. To resolve these conflicting views, we discuss the conditions under which diffusion is feasible as a …"
259,Profiling of ubiquitin-like modifications reveals features of mitotic control,2013,Yifat Merbl and Phillipe Refour and Hevan Patel and Michael Springer and Marc W Kirschner,"Ubiquitin and ubiquitin-like (Ubl) protein modifications affect protein stability, activity, and localization, but we still lack broad understanding of the functions of Ubl modifications. We have profiled the protein targets of ubiquitin and six additional Ubls in mitosis using a functional assay that utilizes active mammalian cell extracts and protein microarrays and identified 1,500 potential substrates; 80–200 protein targets were exclusive to each Ubl. The network structure is nonrandom, with most targets mapping to a single Ubl. There are distinct molecular functions for each Ubl, suggesting divergent biological roles. Analysis of differential profiles between mitosis and G1 highlighted a previously underappreciated role for the Ubl, FAT10, in mitotic regulation. In addition to its role as a resource for Ubl modifications, our study provides a systematic approach to analyze changes in posttranslational modifications at various …"
260,Different phosphorylation states of the anaphase promoting complex in response to antimitotic drugs: a quantitative proteomic analysis,2008,Judith AJ Steen and Hanno Steen and Ann Georgi and Kenneth Parker and Michael Springer and Marc Kirchner and Fred Hamprecht and Marc W Kirschner,"The anaphase promoting complex (APC) controls the degradation of proteins during exit from mitosis and entry into S-phase. The activity of the APC is regulated by phosphorylation during mitosis. Because the phosphorylation pattern provides insights into the complexity of regulation of the APC, we studied in detail the phosphorylation patterns at a single mitotic state of arrest generated by various antimitotic drugs. We examined the phosphorylation patterns of the APC in HeLa S3 cells after they were arrested in prometaphase with taxol, nocodazole, vincristine, or monastrol. There were 71 phosphorylation sites on nine of the APC subunits. Despite the common state of arrest, the various antimitotic drug treatments resulted in differences in the phosphorylation patterns and phosphorylation stoichiometries. The relative phosphorylation stoichiometries were determined by using a method adapted from the isotope-free …"
261,Gap 1 phase length and mouse embryonic stem cell self-renewal,2012,Victor C Li and Andrea Ballabeni and Marc W Kirschner,"In somatic cells, the length of the G1 phase of the cell cycle is tightly linked to differentiation, and its elongation can drive differentiation in many cases. Although it has been suggested that the situation is very similar in embryonic stem cells (ESCs), where a rapid cell cycle and a short G1 phase maintain the pluripotent state, evidence has been contradictory. Here we show that, in murine ESCs, elongation of the cell cycle and elongation of G1 are compatible with their pluripotent state. Multiple methods that lengthen the cell cycle and that target cyclin-dependent kinase, retinoblastoma protein, and E2F activity all fail to induce differentiation on their own or even to facilitate differentiation. The resistance of murine ESCs to differentiation induced by lengthening G1 and/or the cell cycle could allow for separate control of these events and provide new opportunities for investigation and application."
262,The secreted Frizzled-related protein Sizzled functions as a negative feedback regulator of extreme ventral mesoderm,2003,Licio Collavin and Marc W Kirschner,"The prevailing model of dorsal ventral patterning of the amphibian embryo  predicts that the prospective mesoderm is regionalized at gastrulation in  response to a gradient of signals. This gradient is established by diffusible  BMP and Wnt inhibitors secreted dorsally in the Spemann organizer. An  interesting question is whether ventrolateral tissue passively reads graded  levels of ventralizing signals, or whether local self-organizing regulatory  circuits may exist on the ventral side to control cell behavior and  differentiation at a distance from the Organizer. We provide evidence that  sizzled, a secreted Frizzled-related protein expressed ventrally  during and after gastrulation, functions in a negative feedback loop that  limits allocation of mesodermal cells to the extreme ventral fate, with direct  consequences for morphogenesis and formation of the blood islands.  Morpholino-mediated knockdown of Sizzled protein …"
263,Conservation of microtubule associated proteins. Isolation and characterization of tau and the high molecular weight microtubule associated protein from chicken brain and from …,1979,DW Cleveland and BM Spiegelman and MW Kirschner,"MATERIALS AND METHODSPreparation of Microtubule Protein, Purified Tubulin, and T-Microtubule protein was prepared from porcine or chicken brain by the Weingarten et al.(1974) modification of the method of Shelanski et al.(1973). Phosphocellulose-purified tubulin was prepared by chromatography of microtubule protein as described by Weingarten et al.(1975). After removal of the tubulin, a crude associated protein fraction was obtained by elution of the adsorbed protein with 1.0 M NaCl. This fraction then was desalted on Bio-Gel P6 into Buffer P (0.1 M 2-(N-morpholino) ethanesulfonic acid (pH 6.4), 1 mrvr ethylene glycol bis (P-aminoethyl ether) N, N’-tetraacetic acid, 0.1 IIIM EDTA, 0.5 mM MgCl,, and 1 mM 2-mercaptoethanol). Hog 7 was further purified as previously described (Cleveland et al., 197713) by a combination of phosphocellulose chromatography, ammonium sulfate precipitation, and hydroxyapatite chromatography. Chicken 7 was purified in an analogous fashion with the exceptions noted in the text. The ability of associated protein fractions to stimulate assembly of phosphocellulose-purified tubulin was monitored by quantitative electron microscopy as initially described by Kirschner et al.(1975). Protein concentrations were determined by the method of Lowry et al.(1951), using bovine serum albumin as a standard. Hydroxyapatite was purchased from Bio-Rad. Ammonium sulfate (ultrapure) was obtained from Schwarz/Mann and phosphocellulose(Pll, batch 359) was from Whatman."
264,The cell cycle then and now,1992,Marc Kirschner,In the last few years a general model of cell cycle control has been established for all eukaryotic cells. Experiments from a variety of organisms and from a variety of experimental approaches have identified a protein kinase and its unstable regulatory subunit as the activator of mitosis; related molecules seem to be involved in the activation of chromosome replication. The identification of the biochemical components of these important regulatory pathways is providing several new insights into homeostatic and developmental control mechanisms in higher organisms.
265,Size homeostasis in adherent cells studied by synthetic phase microscopy,2013,Yongjin Sung and Amit Tzur and Seungeun Oh and Wonshik Choi and Victor Li and Ramachandra R Dasari and Zahid Yaqoob and Marc W Kirschner,"The coupling of the rate of cell growth to the rate of cell division determines cell size, a defining characteristic that is central to cell function and, ultimately, to tissue architecture. The physiology of size homeostasis has fascinated generations of biologists, but the mechanism, challenged by experimental limitations, remains largely unknown. In this paper, we propose a unique optical method that can measure the dry mass of thick live cells as accurately as that for thin cells with high computational efficiency. With this technique, we quantify, with unprecedented accuracy, the asymmetry of division in lymphoblasts and epithelial cells. We can then use the Collins–Richmond model of conservation to compute the relationship between growth rate and cell mass. In attached epithelial cells, we find that due to the asymmetry in cell division and size-dependent growth rate, there is active regulation of cell size. Thus, like …"
266,Exploiting polypharmacology for drug target deconvolution,2014,Taranjit Singh Gujral and Leonid Peshkin and Marc W Kirschner,"Polypharmacology (action of drugs against multiple targets) represents a tempting avenue for new drug development; unfortunately, methods capable of exploiting the known polypharmacology of drugs for target deconvolution are lacking. Here, we present an ensemble approach using elastic net regularization combined with mRNA expression profiling and previously characterized data on a large set of kinase inhibitors to identify kinases that are important for epithelial and mesenchymal cell migration. By profiling a selected optimal set of 32 kinase inhibitors in a panel against six cell lines, we identified cell type-specific kinases that regulate cell migration. Our discovery of several informative kinases with a previously uncharacterized role in cell migration (such as Mst and Taok family of MAPK kinases in mesenchymal cells) may represent novel targets that warrant further investigation. Target deconvolution using …"
268,What controls the cell cycle,1991,Andrew W Murray and Marc W Kirschner,"By 1900 scientists had already identified the basic events of the cell cycle-the growth and divi sion of a single cell into daughter cells. Yet until recently, little was known about what regulated that cycle, which in humans is vital not only to repro duction but also to growth, tissue re pair, immunity and countless other processes.In the past five years, two separate experimental approaches to the prob lem have converged on an astonishing finding. The regulation of the cycle in eukaryotes (all living organisms except bacteria and viruses) seems to depend to a great extent on changes in the ac tivity of a single molecule, called the cdc2 protein."
269,Resonant microchannel volume and mass measurements show that suspended cells swell during mitosis,2015,Sungmin Son and Joon Ho Kang and Seungeun Oh and Marc W Kirschner and TJ Mitchison and Scott Manalis,"Osmotic regulation of intracellular water during mitosis is poorly understood because methods for monitoring relevant cellular physical properties with sufficient precision have been limited. Here we use a suspended microchannel resonator to monitor the volume and density of single cells in suspension with a precision of 1% and 0.03%, respectively. We find that for transformed murine lymphocytic leukemia and mouse pro–B cell lymphoid cell lines, mitotic cells reversibly increase their volume by more than 10% and decrease their density by 0.4% over a 20-min period. This response is correlated with the mitotic cell cycle but is not coupled to nuclear osmolytes released by nuclear envelope breakdown, chromatin condensation, or cytokinesis and does not result from endocytosis of the surrounding fluid. Inhibiting Na-H exchange eliminates the response. Although mitotic rounding of adherent cells is necessary for …"
270,The fate of cells in the tailbud of Xenopus laevis,2000,Robert L Davis and Marc W Kirschner,"The vertebrate tailbud and trunk form very similar tissues. It has been a controversial question for decades whether cell determination in the developing tail proceeds as part of early axial development or whether it proceeds by a different mechanism. To examine this question more closely, we have used photoactivation of fluorescence to mark small neighborhoods of cells in the developing tailbud of Xenopus laevis. We show that, in one region of the tailbud, very small groups of adjacent cells can contribute progeny to the neural tube, notochord and somitic muscle, as well as other identified cell types within a single embryo. Groups averaging three adjacent cells at a later stage can contribute progeny with a similar distribution. Our data suggest that the tailbud contains multipotent cells that make very late germ-layer decisions."
272,Need-based up-regulation of protein levels in response to deletion of their duplicate genes,2010,Alexander DeLuna and Michael Springer and Marc W Kirschner and Roy Kishony,Duplicated genes compensate for loss of one of the paralogs by up-regulating the remaining paralog only under growth conditions in which paralog activity is required for survival.
